問題上,問題中,問題下,解答,識別文字,識別番号
部屋に,立蔀,を立てる。,たてじとみ,立蔀たてじとみ,4608
柱を,沓巻,で飾る。,くつまき,沓巻くつまき,4609
,一廉,の人物だ。,ひとかど,一廉ひとかど,4610
,徒疎,かにはできない。,あだおろそ,徒疎あだおろそ,4611
,笹舟,を水に浮かべる。,ささぶね,笹舟ささぶね,4612
一時避難所を,設,える。,しつら,設しつら,4613
被害者の苦境を,慮,る。,おもんぱか,慮おもんぱか,4614
良禽は樹を,択,ぶ。,えら,択えら,4615
,挙,って参加する。,こぞ,挙こぞ,4616
,神楽,を奉納する。,かぐら,神楽かぐら,4617
,蝦根,が自生する。,えびね,蝦根えびね,4618
,笹身,に下味を付ける。,ささみ,笹身ささみ,4619
,四阿,で一服する。,あずまや,四阿あずまや,4620
,鮫,をもりで捕らえる。,さめ,鮫さめ,4621
この世に生を,享,ける。,う,享う,4622
,窟,に獣が棲む。,いわや,窟いわや,4623
先輩から,扱,かれる。,しご,扱しご,4624
,真榊,を奉納する。,まさかき,真榊まさかき,4625
,鏑矢,を放つ。,かぶらや,鏑矢かぶらや,4626
,蓋物,に前菜を盛る。,ふたもの,蓋物ふたもの,4627
布団を,被,って寝る。,かぶ,被かぶ,4628
,日向,で居眠りする。,ひなた,日向ひなた,4629
枯れた老木を,伐,る。,き,伐き,4630
人の人たる,所以,だ。,ゆえん,所以ゆえん,4631
,辻札,を立てる。,つじふだ,辻札つじふだ,4632
必死に,足搔,く。,あが,足搔あが,4633
玄米から,種麹,を造る。,たねこうじ,種麹たねこうじ,4634
茶に,栗鹿子,を添える。,くりかのこ,栗鹿子くりかのこ,4635
,蝦芋,の煮物を作る。,えびいも,蝦芋えびいも,4636
職人技を,琢,く。,みが,琢みが,4637
母と,倶,に買い物する。,とも,倶とも,4638
仇敵の暗殺を,猷,る。,はか,猷はか,4639
天子を神と,崇,める。,あが,崇あが,4640
山中で,吹螺,を吹く。,ほらがい,吹螺ほらがい,4641
思慮が浅く,路,を誤る。,みち,路みち,4642
度重なる失策を,詰,る。,なじ,詰なじ,4643
激痛に,悶,える。,もだ,悶もだ,4644
神社に,黒橿,が並ぶ。,くろがし,黒橿くろがし,4645
,羅,を身に纏う。,うすぎぬ,羅うすぎぬ,4646
関係者に疑点を,質,す。,ただ,質ただ,4647
,鶯,が春を告げる。,うぐいす,鶯うぐいす,4648
,賤,しい身となる。,いや,賤いや,4649
絶体絶命の,鍔際,だ。,つばぎわ,鍔際つばぎわ,4650
,辻斬,りに遭遇する。,つじぎ,辻斬つじぎ,4651
,茜雲,が秋空に耀く。,あかねぐも,茜雲あかねぐも,4652
,大凡,の見当は付く。,おおよそ,大凡おおよそ,4653
,黍,餅を焼く。,きび,黍きび,4654
,勾玉,が出土する。,まがたま,勾玉まがたま,4655
血気,旺,んな若者だ。,さか,旺さか,4656
暖炉の,側,に寄る。,そば,側そば,4657
静かな保養所で,寛,ぐ。,くつろ,寛くつろ,4658
宗家の,弥栄,を祈る。,いやさか,弥栄いやさか,4659
,曲者,が忍び込む。,くせもの,曲者くせもの,4660
手際よく仕事を,熟,す。,こな,熟こな,4661
勢いが,昌,んになる。,さか,昌さか,4662
満開の桜を,愛,でる。,め,愛め,4663
,苧殻,を焚く。,おがら,苧殻おがら,4664
,丙午,に大火が起こる。,ひのえうま,丙午ひのえうま,4665
,御簾,を巻き上げる。,みす,御簾みす,4666
,常闇,に包まれる。,とこやみ,常闇とこやみ,4667
事件の,緒,をつかむ。,いとぐち,緒いとぐち,4668
,篠笹,が茂る。,しのざさ,篠笹しのざさ,4669
庭園に,柊,を植える。,ひいらぎ,柊ひいらぎ,4670
,小径,を散歩する。,こみち,小径こみち,4671
,斑入,りの花を飾る。,ふい,斑入ふい,4672
,蟻,が土に巣穴を作る。,あり,蟻あり,4673
,糠袋,で体を洗う。,ぬかぶくろ,糠袋ぬかぶくろ,4674
コートの,衿,を立てる。,えり,衿えり,4675
ひどく,吃,る癖がある。,ども,吃ども,4676
知る,由,もない。,よし,由よし,4677
瓶の上が,括,れている。,くび,括くび,4678
神を,象,った像を作る。,かたど,象かたど,4679
,寝惚,けて蹴つまずく。,ねぼ,寝惚ねぼ,4680
,葦火,を焚き暖をとる。,あしび,葦火あしび,4681
商いが,朽,れる。,すた,朽すた,4682
,鯉濃,を馳走する。,こいこく,鯉濃こいこく,4683
,気忙,しい年の暮れだ。,きぜわ,気忙きぜわ,4684
福祉行政を,掌,る。,つかさど,掌つかさど,4685
,轡虫,の声が騒々しい。,くつわむし,轡虫くつわむし,4686
,己亥,の年を迎える。,つちのとい,己亥つちのとい,4687
,直,向きに努力する。,ひた,直ひた,4688
,粥腹,で力が入らない。,かゆばら,粥腹かゆばら,4689
,鋸屑,を燃料に用いる。,のこくず,鋸屑のこくず,4690
,小噺,を披露する。,こばなし,小噺こばなし,4691
苦労の,甲斐,があった。,かい,甲斐かい,4692
前例に,則,って決める。,のっと,則のっと,4693
日々研究に,勤,しむ。,いそ,勤いそ,4694
敵を前に,後退,りする。,あとずさ,後退あとずさ,4695
,朔,に市が立つ。,ついたち,朔ついたち,4696
起きて,髭,を剃る。,くちひげ,髭くちひげ,4697
商品を豊富に,揃,える。,そろ,揃そろ,4698
冬至に,柚湯,に浸かる。,ゆずゆ,柚湯ゆずゆ,4699
企業秘密が,露,になる。,あらわ,露あらわ,4700
桜の下で,野点,する。,のだて,野点のだて,4701
,厨,で食事を用意する。,くりや,厨くりや,4702
綿糸を,二梱,仕入れる。,ふたこり,二梱ふたこり,4703
余命,幾何,もない。,いくばく,幾何いくばく,4704
,薄,が鬱蒼と茂る。,すすき,薄すすき,4705
運動して体が,熱,った。,ほて,熱ほて,4706
,朝凪,の海で舟を漕ぐ。,あさなぎ,朝凪あさなぎ,4707
,杯,を酌み交わす。,さかずき,杯さかずき,4708
弟子が師に,楯突,く。,たてつ,楯突たてつ,4709
幼子に,御伽噺,を読む。,おとぎばなし,御伽噺おとぎばなし,4710
,畷,をひたすら歩く。,なわて,畷なわて,4711
川で,鮎汲,みをする。,あゆく,鮎汲あゆく,4712
鉛筆を,散,で売る。,ばら,散ばら,4713
山中を,隈,なく捜す。,くま,隈くま,4714
我が心石に,匪,ず。,あら,匪あら,4715
材木を鋸で,挽,き切る。,ひ,挽ひ,4716
川が,二俣,に分かれる。,ふたまた,二俣ふたまた,4717
外套の,釦,を外す。,ぼたん,釦ぼたん,4718
,伝,を頼って上京する。,つて,伝つて,4719
板を,井桁,に組む。,いげた,井桁いげた,4720
,幌,をかけて走る。,ほろ,幌ほろ,4721
,長柄,の柄杓で掬う。,ながえ,長柄ながえ,4722
,縞鰺,を三枚に下ろす。,しまあじ,縞鰺しまあじ,4723
,椋,はなっても木は榎。,むく,椋むく,4724
,私,かに画策する。,ひそ,私ひそ,4725
,剰,え、風も強くなる。,あまつさ,剰あまつさ,4726
縄を,糾,う。,あざな,糾あざな,4727
,徐,に口を開く。,おもむろ,徐おもむろ,4728
釣り糸に,錘,を付ける。,おもり,錘おもり,4729
全容を,詳,らかにする。,つまび,詳つまび,4730
子供のように,燥,ぐ。,はしゃ,燥はしゃ,4731
人生を旅に,准,える。,なぞら,准なぞら,4732
,姥目樫,の実を拾う。,うばめがし,姥目樫うばめがし,4733
緻密な作戦を,煉,る。,ね,煉ね,4734
闇夜に烏、雪に,鷺,。,さぎ,鷺さぎ,4735
夜に,蔀戸,を下ろす。,しとみど,蔀戸しとみど,4736
,虎斑,の猫が横切る。,とらふ,虎斑とらふ,4737
,柾,の生け垣で囲む。,まさき,柾まさき,4738
いずれにも,与,しない。,くみ,与くみ,4739
風が止み,油凪,となる。,あぶらなぎ,油凪あぶらなぎ,4740
,竿,に釣り糸を付ける。,さお,竿さお,4741
,榎茸,を吸い物にする。,えのきだけ,榎茸えのきだけ,4742
,筏形,に花を生ける。,いかだがた,筏形いかだがた,4743
敵軍が背後から,逼,る。,せま,逼せま,4744
気分が,鬱,ぎ込む。,ふさ,鬱ふさ,4745
尉と,姥,の置物を買う。,うば,姥うば,4746
