意味,上漢字,上読み,下漢字,下読み,識別番号1,識別番号2,識別番号3,識別番号4,識別番号5
小人がこぞって集まり、人のうわさなどを盛んに言い合うことの形容,邑犬,ゆうけん,群吠,ぐんばい,737,,,,
何ものにもとらわれずのびのびしていること,融通,ゆうづう,無碍,むげ,766,820,,,
人知では容易に理解できない奇怪な現象や物体のこと,妖怪,ようかい,変化,へんげ,4910,,,,
見識・視野が狭いこと,用管,ようかん,窺天,きてん,769,786,,,
あやしい言葉で人をまどわすこと,妖言,ようげん,惑衆,わくしゅう,2410,2422,,,
外見だけで中身が伴わないこと,羊質,ようしつ,虎皮,こひ,842,2359,,,
外見と内実とに大きな差があることのたとえ,羊頭,ようとう,狗肉,くにく,3394,,,,
顔や体つきが立派なさま,容貌,ようぼう,魁偉,かいい,2332,2352,,,
盛んだった勢いが途中で弱まること,抑揚,よくよう,頓挫,とんざ,4911,,,,
魚や雁も圧倒されるほどの美人,落雁,らくがん,沈魚,ちんぎょ,3452,,,,
失敗をうまくとりつくろうこと,落筆,らくひつ,点蠅,てんよう,2344,2385,,,
書画や骨董、器物などを非常に愛好するたとえ,蘭亭,らんてい,殉葬,じゅんそう,4912,,,,
疑われることはしないほうがよい,李下,りか,瓜田,かでん,790,4111,,,
時期が過ぎて役に立たないこと,六菖,りくしょう,十菊,じゅうぎく,730,742,,,
立派で美しいさま,竜章,りゅうしょう,鳳姿,ほうし,757,870,3973,,
よく吟味してから仕える主人を選ぶべきであること,良禽,りょうきん,択木,たくぼく,3413,4913,,,
泥棒のこと,梁上,りょうじょう,君子,のくんし,4914,,,,
実力が伯仲している者同士が激しく戦うこと,竜騰,りょうとう,虎闘,ことう,4915,,,,
豪華な衣服のたとえ,綾羅,りょうら,錦繡,きんしゅう,748,764,802,2358,4108
望みだけでは願いはかなえられないこと,臨淵,りんえん,羨魚,せんぎょ,735,818,4099,,
すきまなくびっしり並ぶさま,鱗次,りんじ,櫛比,しっぴ,2346,2357,,,
将来有望な子のたとえ,麟子,りんし,鳳雛,ほうすう,799,814,,,
生死が繰り返されるという仏教の教え,輪廻,りんね,転生,てんせい,731,741,,,
平和な世に現れるとされている空想の動物。賢者のこと,麟鳳,りんぽう,亀竜,きりょう,4916,,,,
永久に不変の誓いのたとえ,礪山,れいざん,帯河,たいが,4917,,,,
冷ややかにあざけり、ひどくののしること,冷嘲,れいちょう,熱罵,ねつば,4918,,,,
字の書き間違い,魯魚,ろぎょ,章草,しょうそう,2407,3454,,,
迷いから解き放たれて、心が清らかになること,六根,ろっこん,清浄,しょうじょう,4919,,,,
功績の大小を論じて定め、それにふさわしい賞を与えること,論功,ろんこう,行賞,こうしょう,4920,,,,
才能を隠して俗世間に暮らすこと,和光,わこう,同塵,どうじん,775,864,,,
大工と車を作る職人,梓匠,ししょう,輪輿,りんよ,2367,,,,
世界の果ての小さな国,粟散,ぞくさん,辺地,へんち,2341,,,,
多くのものが群がり入り乱れているさま,稲麻,とうま,竹葦,ちくい,2350,,,,
年月が慌ただしく過ぎること,烏飛,うひ,兎走,とそう,3415,,,,
地位・身分の差がはなはだしいたとえ,雲竜,うんりゅう,井蛙,せいあ,2351,,,,
同じことが無限に繰り返されるたとえ,永劫,えいごう,回帰,かいき,3440,,,,
苦労して勉学にはげむこと,円木,えんぼく,警枕,けいちん,2394,,,,
土煙が高く舞い上がるさま,黄塵,こうじん,万丈,ばんじょう,2370,,,,
友を思う切な心,屋梁,おくりょう,落月,らくげつ,2365,,,,
わだかまりがなく心がひろいさま,廓然,かくぜん,大公,たいこう,2413,,,,
物事が思うようにならず、もどかしいこと,隔靴,かっか,搔痒,そうよう,5295,,,,
気楽に隠居生活を送ること,含飴,がんい,弄孫,ろうそん,3392,,,,
世の中の変化が激しいこと,桑田,そうでん,碧海,へきかい,2420,,,,
平和であるたとえ,刑鞭,けいべん,蒲朽,ほきゅう,865,,,,
世の中を治め、民衆を苦しみから救済すること,経世,けいせい,済民,さいみん,3964,,,,
かしこいことと道理にくらいこと,賢明,けんめい,愚昧,ぐまい,2415,,,,
意志が強く決断力があること,剛毅,ごうき,果断,かだん,844,3968,,,
三人で話し合うこと,三者,さんしゃ,鼎談,ていだん,2371,,,,
長短ふぞろいな物が入り混じる様子,参差,しんし,錯落,さくらく,3385,,,,
大国が小国を侵略していくこと,蚕食,さんしょく,鯨吞,げいどん,871,3963,,,
優れた人材,芝蘭,しらん,玉樹,ぎょくじゅ,2398,,,,
物事の根底を忘れること,釈根,しゃくこん,灌枝,かんし,3411,,,,
迷っていて決心がつかないこと,首鼠,しゅそ,両端,りょうたん,3391,,,,
勢いが衰えものさびしいさま,秋風,しゅうふう,索莫,さくばく,803,3429,,,
正規の段階をふまず官職に就く方法,終南,しゅうなん,捷径,しょうけい,2347,,,,
文章をよく考えながら読むこと,熟読,じゅくどく,玩味,がんみ,751,,,,
大事業を企てること,図南,となん,鵬翼,ほうよく,727,,,,
度量が広いこと,清濁,せいだく,併吞,へいどん,819,4101,,,
よい行いは子孫の幸福に反映する,積善,せきぜん,余慶,よけい,796,,,,
次々に危難におそわれること,前虎,ぜんこ,後狼,こうろう,729,3969,,,
容姿が上品でみやびやかなさま,体貌,たいぼう,閑雅,かんが,2423,,,,
猛々しく欲深い人のたとえ,鷹視,ようし,狼歩,ろうほ,2419,,,,
役に立たないことに力を注ぐことのたとえ,凋氷,ちょうひょう,画脂,がし,868,,,,
しぼみ落ちてなくなること,凋零,ちょうれい,磨滅,まめつ,3408,,,,
常に変わり一定しないことのたとえ,朝秦,ちょうしん,暮楚,ぼそ,849,,,,
つまらない者たちがはびこること,朝蠅,ちょうよう,暮蚊,ぼぶん,745,,,,
利用価値がなくなった者は捨てられる運命にあること,兎死,とし,狗烹,くほう,3409,,,,
役に立たないもの,菟糸,とし,燕麦,えんばく,3388,,,,
俗世から離れて雅やかな生活をするたとえ,梅妻,ばいさい,鶴子,かくし,874,,,,
迷いがあって初めて悟りもあること,煩悩,ぼんのう,菩提,ぼだい,721,3971,,,
豪華なごちそうのこと,美酒,びしゅ,佳肴,かこう,3381,,,,
梅の花のたとえ、麗人のこと,氷肌,ひょうき,玉骨,ぎょっこつ,779,,,,
これ以上ないまごころ,碧血,へきけつ,丹心,たんしん,2342,,,,
空が晴れ渡る様子,碧落,へきらく,一洗,いっせん,3387,,,,
よい評判が盛んなこと,名声,めいせい,赫赫,かくかく,755,,,,
気高い者はどんな時も信念を変えない,鳴蟬,めいせん,潔肌,けっき,3389,,,,
兄弟姉妹の長子・次子などの順,孟仲,もうちゅう,叔季,しゅくき,3414,,,,
勇気がふつふつとわいてくるさま,雄心,ゆうしん,勃勃,ぼつぼつ,2395,,,,
美しい山水の風景の形容,嵐影,らんえい,湖光,ここう,2368,,,,
筆勢が自由自在で見事なたとえ,竜跳,りょうちょう,虎臥,こが,3416,,,,
物事の基準・法則,鉤縄,こうじょう,規矩,きく,867,3962,,,
