問題上,問題中,問題下,漢字,識別番号1,識別番号2,識別番号3
,ロギョ,章草の誤り。,魯魚,3679,,
羊を亡いて,ロウ,を補う。,牢,1324,,
羊をして,オオカミ,に将たらしむ。,狼,3731,,
私聴すれば耳をして,ロウ,せしむ。,聾,1207,,
鶏の,アバラボネ,を惜しむ。,肋骨,1191,1418,
,ワイロ,には誓紙を忘る。,賄賂,2645,,
,ワラ,人形も衣装柄。,藁,2718,,
,ヒノキ,舞台を踏む。,檜,2623,,
我が物食えば,カマド,将軍。,竈,3645,,
鈴虫は音のために,カゴ,に飼わる。,籠,3665,,
君子,ホウチュウ,に入るに忍びず。,苞厨,1300,1421,
,ヤブ,をつついて蛇を出す。,藪,1393,,
臭い物に,ハエ,がたかる。,蠅,1283,,
,ハエ,が飛べば虻も飛ぶ。,蠅,1360,,
三たび,イサ,めて聴かざれば則ち去る。,諫,2710,,
,カンゲン,耳に逆らう。,諫言,2746,,
,コウキョク,の形には縄直の影なし。,鉤曲,1400,,
,オウム,よく言えども飛鳥を離れず。,鸚鵡,1221,4125,
,オウム,返し。,鸚鵡,1351,,
,キリン,も老いては駑馬に劣る。,麒麟,1326,,
化けの皮が,ハ,がれる。,剝,1181,,
小さくとも針は,ノ,まれぬ。,吞,3693,,
網　,ドンシュウ,の魚を漏らす。,吞舟,1203,1410,
大海を耳,カ,きで測る。,搔,1162,,
富貴にして故郷に帰らざるは、,シュウ,を着て夜行くが如し。,繡,1168,1298,
,ツナ,ぐ犬の柱を回る如し。,繫,1201,,
,ツナ,がぬ舟の浮きたる例なし。,繫,1243,,
,ロウソク,は身を減らして人を照らす。,蠟燭,2603,,
