問題上,問題中,問題下,解答,識別番号
,キョウジン,な精神で問題を解決する。,強靱,3558
彼女は,マレ,に見る美人だ。,稀,3559
事件の,カギ,を握る女性だ。,鍵,3560
冬物の服を,タンス,に仕舞った。,簞笥,3561
,アンドン,の油が切れた。,行灯,3562
国王から勲章を,タマワ,った。,賜,3563
,スベカラ,く勤勉を心がけるべし。,須,3564
感嘆,オ,くあたわず。,措,3565
汗,マミ,れで働いた。,塗,3566
お正月に,ヤッコダコ,を揚げる。,奴凧,3567
,ウド,の大木とは彼のことだ。,独活,3568
彼とは,ジライ,音信不通だ。,爾来,3569
芸術活動も,マタ,戦争の犠牲となった。,亦,3570
,モハヤ,これまで、と諦めた。,最早,3571
,ヒサシ,で日射しを防ぐ。,庇,3572
彼の言葉は,ケダ,し名言だ。,蓋,3573
衣の下から,ヨロイ,がちらつく。,鎧,3574
各家庭,ゴト,に国勢調査を行う。,毎,3575
,オボ,れる者は藁をも摑む。,溺,3576
ブラウスに,シシュウ,を施す。,刺繡,3577
瓦で屋根を,フ,いた。,葺,3578
祖父が漢詩を,ロウエイ,する。,朗詠,3579
,ケイフン,を乾燥させて肥料にする。,鶏糞,3580
,ケイシ,に恵まれず絶家となった。,継嗣,3581
屋上からは,ケシ,粒のように見える。,芥子,3582
残業して,ヨウヤ,く仕事が終わった。,漸,3583
粗悪な商品は,トウタ,されるだろう。,淘汰,3584
,サイエン,の誉れが高い女医だ。,才媛,3585
友人の才能に,シット,する。,嫉妬,3586
,ノウエン,な舞いで観客を魅了した。,濃艶,3587
,ヘンパ,な扱いに不信感を抱く。,偏頗,3588
雨で歩道が,ヌ,れる。,濡,3589
手術で胃の,カイヨウ,を除去した。,潰瘍,3590
壁に社内報を,ガビョウ,で留める。,画鋲,3591
新しい勢力が,ボッコウ,する。,勃興,3592
医療の発展に人生を,ササ,げる。,捧,3593
悪徳商法が,チョウリョウ,する。,跳梁,3594
,アオイ,を模した家紋を使う。,葵,3595
医師免許を,ハクダツ,される。,剝奪,3596
業界で大手三社が,カクチク,する。,角逐,3597
根も葉もない,ウワサ,がはびこる。,噂,3598
,チリ,も積もれば山となる。,塵,3599
黒,ブチ,のある白犬を飼っている。,斑,3600
祭りで,チョウチン,をぶら下げる。,提灯,3601
,マイキョ,にいとまがない。,枚挙,3602
車が物,スゴ,い速さで駆け抜けた。,凄,3603
人里離れた場所で,イオリ,を結ぶ。,庵,3604
,チョコザイ,な新人をたしなめる。,猪口才,3605
俳諧の,ヨウケツ,を師に尋ねる。,要訣,3606
細かいことに,トンチャク,しない。,頓着,3607
柳の枝が風に,ソヨ,ぐ。,戦,3608
恋に破れて,ハンモン,する。,煩悶,3609
報告書の,ゴビュウ,を指摘する。,誤謬,3610
,キュウテキ,をついに討ち取った。,仇敵,3611
考えただけで,ムシズ,が走る。,虫酸,3612
,キンジュウ,にも劣る行為だ。,禽獣,3613
,キュウトウ,墨守の政治を非難する。,旧套,3614
事態を,トウカン,視する。,等閑,3615
,シュンゲン,な態度で改革にあたる。,峻厳,3616
他人を見下し,ガンロウ,する。,玩弄,3617
我が,ママ,な性格に辟易する。,儘,3618
,キュウチョウ,懐に入れば漁師も殺さず。,窮鳥,3619
,レンガ,を積んで塀を作る。,煉瓦,3620
稀代の英雄に,ドウケイ,の念を抱く。,憧憬,3621
敬愛する作家の足跡を,タド,った。,辿,3622
,ゼンショウ,戦が繰り広げられる。,前哨,3623
政界で,バンジャク,の地位を築いた。,磐石,3624
増税が財政再建の,ショウケイ,だ。,捷径,3625
商売繁盛を願って,キトウ,する。,祈禱,3626
,キツネ,につままれた気分だ。,狐,3627
囲碁で彼に,ヒケン,する者はいない。,比肩,3628
,ガイシ,で架線を鉄柱に固定する。,碍子,3629
罪人を寛大に,ジョ,する。,恕,3630
同じ志の仲間と,ホウトウ,を結する。,朋党,3631
祖父が孫を,デキアイ,する。,溺愛,3632
狼の,エジキ,になるのは嫌だ。,餌食,3937
,イハイ,を仏壇に安置する。,位牌,3938
国家の機密が,ロウエイ,する。,漏洩,3939
暗闇の中で,ロウソク,をともす。,蠟燭,3940
目にいっぱいの涙を,タタ,える。,湛,3941
三振に肩を,スボ,めてベンチに帰る。,窄,3942
,ウ,の花が初夏の訪れを告げる。,卯,3943
古墳から,ハニワ,が出土する。,埴輪,3944
事の成り行きに,アゼン,とする。,啞然,3945
子猫が足に,マツ,わりつく。,纏,3946
工場の資材を,コンポウ,する。,梱包,3947
事故の知らせに顔面,ソウハク,になる。,蒼白,3948
,オンリョウ,に取りつかれた。,怨霊,3949
,コツゼン,として消息を絶つ。,忽然,3950
腕の筋肉が,シカン,する。,弛緩,3951
企業経営の,サイハイ,を振る。,采配,3952
話に,オヒレ,がついて広まった。,尾鰭,4072
同僚の出世を,ヒガ,む。,僻,4073
畑に生えた雑草を鎌で,ナ,ぐ。,薙,4074
優勝を果たし故郷に,ガイセン,する。,凱旋,4075
時代劇で武士に,フンソウ,した。,扮装,4076
隣接する三国が,テイリツ,する。,鼎立,4077
台風で壊れた,アマドイ,を修繕する。,雨樋,4078
些事を,オオゲサ,に騒ぎ立てる。,大袈裟,4079
相手の話を,ウ,吞みにする。,鵜,4080
,カンガイ,を施した農地に作物が実る。,灌漑,4081
朗報に接し,カイサイ,を叫ぶ。,快哉,4082
,コンペキ,の空に一筋の雲が浮かぶ。,紺碧,4083
,ヒナマツ,りに桃の花を飾る。,雛祭,4084
彼の深酒には,ホトホト,困り果てた。,殆,4085
執行役員に,バッテキ,される。,抜擢,4086
本に読み,フケ,って時間を忘れる。,耽,4087
